year;Q1;Q2;Q3;Q4
1993;19.4;38.5;67.4;109.5
1994;148.1;187.5;232.3;298.6
1995;328.2;432.2;528.3;643.2
1996;695.3;789.7;838.3;903.8
1997;844;941;1001;1074
1998;1010;1069;1094;1255
1999;1248;1511;1642;1927
2000;1899;2148;2336;2652
2001;2781;3082;3393;3872
2002;3836;4257;4547;5018
2003;4800;5296;5549;6401
2004;6173;6650;6930;7582
2005;7638;8234;8674;9651
2006;9397;10401;10949;12203
2007;11876;12993;13494;15742
2008;15424;16962;17556;18966
2009;17441;18419;18673;20670
2010;19485;20809;21031;23491
2011;21354;23154;23352;26905
2012;24407;26547;26127;30233
2013;27339;30245;29578;33269
2014;30057;32963;31730;35685
2015;31566;34703;32983;36692
2016;34000;37404;35744;39824
2017;35983;40103;37723;42797
2018;40691;44477;41830;46850
2019;43944;48453;45726;51684
2020;48390;50784;49021;56044
2021;52143;57275;54133;62828
2022;60101;63784;61385;71377
2023;66778;73534;70639;83684